,id,name,position,dateOfBirth,nationality,club
0,4832,David Raya,Goalkeeper,1995-09-15,Spain,Arsenal
1,5530,Aaron Ramsdale,Goalkeeper,1998-05-14,England,Arsenal
2,153843,Karl Jakob Hein,Goalkeeper,2002-04-13,Estonia,Arsenal
3,3244,Cédric,Defence,1991-08-31,Portugal,Arsenal
4,6154,Ben White,Defence,1997-10-08,England,Arsenal
5,7889,Oleksandr Zinchenko,Defence,1996-12-15,Ukraine,Arsenal
6,9034,Takehiro Tomiyasu,Defence,1998-11-05,Japan,Arsenal
7,23128,Gabriel,Defence,1997-12-19,Brazil,Arsenal
8,80171,William Saliba,Defence,2001-03-24,France,Arsenal
9,98816,Jurrien Timber,Defence,2001-06-17,Netherlands,Arsenal
10,147286,Jakub Kiwior,Defence,2000-02-15,Poland,Arsenal
11,204501,Reuell Walters,Defence,2004-12-16,England,Arsenal
12,247644,Ayden Heaven,Defence,2006-09-22,England,Arsenal
13,110,Thomas Partey,Midfield,1993-06-13,Ghana,Arsenal
14,171,Kai Havertz,Midfield,1999-06-11,Germany,Arsenal
15,2094,Jorginho,Midfield,1991-12-20,Italy,Arsenal
16,7427,Martin Ødegaard,Midfield,1998-12-17,Norway,Arsenal
17,8215,Declan Rice,Midfield,1999-01-14,England,Arsenal
18,8984,Leandro Trossard,Midfield,1994-12-04,Belgium,Arsenal
19,85570,Emile Smith Rowe,Midfield,2000-07-28,England,Arsenal
20,112948,Fabio Vieira,Midfield,2000-05-30,Portugal,Arsenal
21,179669,Mohamed Elneny,Midfield,1992-07-11,Egypt,Arsenal
22,204461,Mauro Bandeira,Midfield,2004-04-19,Portugal,Arsenal
23,204503,Amario Cozier-Duberry,Midfield,2005-05-29,England,Arsenal
24,221250,James Sweet,Midfield,2003-11-03,Wales,Arsenal
25,244120,Myles Lewis-Skelly,Midfield,2006-09-26,England,Arsenal
26,3236,Gabriel Jesus,Offence,1997-04-03,Brazil,Arsenal
27,7799,Reiss Nelson,Offence,1999-12-10,England,Arsenal
28,7800,Eddie Nketiah,Offence,1999-05-30,England,Arsenal
29,61450,Martinelli,Offence,2001-06-18,Brazil,Arsenal
30,99813,Bukayo Saka,Offence,2001-09-05,England,Arsenal
31,188476,Ethan Nwaneri,Offence,2007-03-21,England,Arsenal
0,3141,Emiliano Martínez,Goalkeeper,1992-09-02,Argentina,Aston Villa
1,15512,Robin Olsen,Goalkeeper,1990-01-08,Sweden,Aston Villa
2,81871,Joe Gauci,Goalkeeper,2000-07-04,Australia,Aston Villa
3,204460,James Wright,Goalkeeper,2004-12-02,England,Aston Villa
4,244962,Sam Proctor,Goalkeeper,2006-12-21,England,Aston Villa
5,63,Clément Lenglet,Defence,1995-06-17,France,Aston Villa
6,3359,Lucas Digne,Defence,1993-07-20,France,Aston Villa
7,4082,Kortney Hause,Defence,1995-07-16,England,Aston Villa
8,6317,Ezri Konsa,Defence,1998-04-06,England,Aston Villa
9,7787,Calum Chambers,Defence,1995-01-20,England,Aston Villa
10,8235,Tyrone Mings,Defence,1993-03-13,England,Aston Villa
11,8346,Boubacar Kamara,Defence,1999-11-23,France,Aston Villa
12,8698,Diego Carlos,Defence,1993-03-15,Brazil,Aston Villa
13,11644,Matty Cash,Defence,1997-08-07,Poland,Aston Villa
14,32123,Alex Moreno,Defence,1993-06-08,Spain,Aston Villa
15,33109,Pau Torres,Defence,1997-01-16,Spain,Aston Villa
16,171509,Kaine Kesler,Defence,2002-10-23,England,Aston Villa
17,246589,Finley Munroe,Defence,2005-02-08,England,Aston Villa
18,2013,Nicolò Zaniolo,Midfield,1999-07-02,Italy,Aston Villa
19,3658,Youri Tielemans,Midfield,1997-05-07,Belgium,Aston Villa
20,31941,Emiliano Buendía,Midfield,1996-12-25,Argentina,Aston Villa
21,33525,Douglas Luiz,Midfield,1998-05-09,Brazil,Aston Villa
22,34646,John McGinn,Midfield,1994-10-18,Scotland,Aston Villa
23,111437,Jacob Ramsey,Midfield,2001-05-28,England,Aston Villa
24,169326,Tim Iroegbunam,Midfield,2002-08-12,England,Aston Villa
25,157,Leon Bailey,Offence,1997-08-09,Jamaica,Aston Villa
26,2240,Moussa Diaby,Offence,1999-07-07,France,Aston Villa
27,4444,Ollie Watkins,Offence,1995-12-30,England,Aston Villa
28,82140,Morgan Rogers,Offence,2002-07-26,England,Aston Villa
29,104493,Jhon Durán,Offence,2003-12-13,Colombia,Aston Villa
30,214417,Omari Kellyman,Offence,2005-09-25,Northern Ireland,Aston Villa
0,3953,Marcus Bettinelli,Goalkeeper,1992-05-24,England,Chelsea
1,121765,Đorđe Petrović,Goalkeeper,1999-10-08,Serbia,Chelsea
2,135555,Robert Sánchez,Goalkeeper,1997-11-18,Spain,Chelsea
3,179663,Lucas Bergström,Goalkeeper,2002-09-05,Finland,Chelsea
4,246715,Max Merrick,Goalkeeper,2005-11-10,England,Chelsea
5,246743,Ted Curd,Goalkeeper,2006-02-14,England,Chelsea
6,813,Axel Disasi,Defence,1998-03-11,France,Chelsea
7,3224,Thiago Silva,Defence,1984-09-22,Brazil,Chelsea
8,7810,Trevoh Chalobah,Defence,1999-07-05,England,Chelsea
9,8065,Ben Chilwell,Defence,1996-12-21,England,Chelsea
10,8424,Malang Sarr,Defence,1999-01-23,France,Chelsea
11,8545,Wesley Fofana,Defence,2000-12-17,France,Chelsea
12,15863,Cucurella,Defence,1998-07-22,Spain,Chelsea
13,56628,Reece James,Defence,1999-12-08,England,Chelsea
14,152498,Malo Gusto,Defence,2003-05-19,France,Chelsea
15,170426,Benoît Badiashile,Defence,2001-03-26,France,Chelsea
16,170440,Levi Colwill,Defence,2003-02-26,England,Chelsea
17,179698,Dylan Williams,Defence,2003-09-13,England,Chelsea
18,189625,Ishe Samuels-Smith,Defence,2006-06-05,England,Chelsea
19,206825,Alfie Gilchrist,Defence,2003-11-28,England,Chelsea
20,221263,Joshua Brooking,Defence,2002-09-01,England,Chelsea
21,8484,Christopher Nkunku,Midfield,1997-11-14,France,Chelsea
22,98978,Mykhailo Mudryk,Midfield,2001-01-05,Ukraine,Chelsea
23,102603,Enzo Fernández,Midfield,2001-01-17,Argentina,Chelsea
24,119265,Conor Gallagher,Midfield,2000-02-06,England,Chelsea
25,121103,Moisés Caicedo,Midfield,2001-11-02,Ecuador,Chelsea
26,144892,Cole Palmer,Midfield,2002-05-06,England,Chelsea
27,153555,Chimuanya Ugochukwu,Midfield,2004-03-26,France,Chelsea
28,167570,Carney Chukwuemeka,Midfield,2003-10-20,England,Chelsea
29,167720,Noni Madueke,Midfield,2002-03-10,England,Chelsea
30,172738,Romeo Lavia,Midfield,2004-01-06,Belgium,Chelsea
31,179558,Cesare Casadei,Midfield,2003-01-10,Italy,Chelsea
32,203375,Deivid Washington,Midfield,2005-06-05,Brazil,Chelsea
33,228509,Leo Castledine,Midfield,2005-08-20,England,Chelsea
34,245340,Michael Golding,Midfield,2006-05-23,England,Chelsea
35,247243,Ollie Harrison,Midfield,2007-08-07,England,Chelsea
36,3329,Raheem Sterling,Offence,1994-12-08,England,Chelsea
37,152515,Nicolas Jackson,Offence,2001-06-20,Senegal,Chelsea
38,218431,Ronnie Stutter,Offence,2005-01-06,England,Chelsea
39,182192,Diego Moreira,Forward,2004-08-06,Portugal,Chelsea
0,3309,Jordan Pickford,Goalkeeper,1994-03-07,England,Everton
1,4133,Andy Lonergan,Goalkeeper,1983-10-19,England,Everton
2,82207,João Virgínia,Goalkeeper,1999-10-10,Portugal,Everton
3,3316,James Tarkowski,Defence,1992-11-19,England,Everton
4,3317,Ashley Young,Defence,1985-07-09,England,Everton
5,5487,Ben Godfrey,Defence,1998-01-15,England,Everton
6,7829,Michael Keane,Defence,1993-01-11,England,Everton
7,7836,Séamus Coleman,Defence,1988-10-11,Ireland,Everton
8,16165,Vitalii Mykolenko,Defence,1999-05-29,Ukraine,Everton
9,114120,Jarrad Branthwaite,Defence,2002-06-27,England,Everton
10,138174,Nathan Patterson,Defence,2001-10-16,Scotland,Everton
11,3251,André Gomes,Midfield,1993-07-30,Portugal,Everton
12,3324,Dele Alli,Midfield,1996-04-11,England,Everton
13,3627,Idrissa Gana Guèye,Midfield,1989-09-26,Senegal,Everton
14,4220,Jack Harrison,Midfield,1996-11-20,England,Everton
15,8119,Abdoulaye Doucouré,Midfield,1993-01-01,Mali,Everton
16,11623,Dwight McNeil,Midfield,1999-11-22,England,Everton
17,101076,James Garner,Midfield,2001-03-13,England,Everton
18,114024,Amadou Onana,Midfield,2001-08-16,Belgium,Everton
19,157660,Tyler Onyango,Midfield,2003-03-04,England,Everton
20,172958,Lewis Dobbin,Midfield,2003-01-03,England,Everton
21,220673,Mackenzie Hunt,Midfield,2001-11-14,England,Everton
22,244820,Jenson Metcalfe,Midfield,2004-09-06,England,Everton
23,7839,Dominic Calvert-Lewin,Offence,1997-03-16,England,Everton
24,9870,Arnaut Danjuma,Offence,1997-01-31,Netherlands,Everton
25,125044,Beto,Offence,1998-01-31,Portugal,Everton
26,188082,Youssef Chermiti,Offence,2004-05-24,Portugal,Everton
0,3174,Bernd Leno,Goalkeeper,1992-03-04,Germany,Fulham
1,6445,Marek Rodák,Goalkeeper,1996-12-13,Slovakia,Fulham
2,81055,Steven Benda,Goalkeeper,1998-10-01,Germany,Fulham
3,1836,Timothy Castagne,Defence,1995-12-05,Belgium,Fulham
4,3927,Antonee Robinson,Defence,1997-08-08,USA,Fulham
5,3956,Tim Ream,Defence,1987-10-05,USA,Fulham
6,7880,Tosin Adarabioyo,Defence,1997-09-24,England,Fulham
7,8296,Issa Diop,Defence,1997-01-09,France,Fulham
8,8403,Fodé Ballo-Touré,Defence,1997-01-03,Senegal,Fulham
9,8460,Kenny Tete,Defence,1995-10-09,Netherlands,Fulham
10,146154,Calvin Bassey,Defence,1999-12-31,Nigeria,Fulham
11,217596,Luc De Fougerolles,Defence,2005-10-12,Canada,Fulham
12,227998,Devan Tanton,Defence,2004-01-03,Colombia,Fulham
13,3230,Willian,Midfield,1988-08-09,Brazil,Fulham
14,3965,Tom Cairney,Midfield,1991-01-20,England,Fulham
15,3995,Harrison Reed,Midfield,1995-01-27,England,Fulham
16,4398,Bobby Reid,Midfield,1993-02-02,Jamaica,Fulham
17,11777,Harry Wilson,Midfield,1997-03-22,Wales,Fulham
18,15884,João Palhinha,Midfield,1995-07-09,Portugal,Fulham
19,32938,Saša Lukić,Midfield,1996-08-13,Serbia,Fulham
20,33153,Andreas Pereira,Midfield,1996-01-01,Brazil,Fulham
21,189889,Kristian Sekularac,Midfield,2003-12-07,Switzerland,Fulham
22,209084,Matthew Dibley-Dias,Midfield,2003-10-29,England,Fulham
23,246418,Joshua King,Midfield,2007-01-03,England,Fulham
24,3305,Raúl Jiménez,Offence,1991-05-05,Mexico,Fulham
25,3392,Alex Iwobi,Offence,1996-05-03,Nigeria,Fulham
26,4221,Adama Traoré,Offence,1996-01-25,Spain,Fulham
27,138036,Rodrigo Muniz,Offence,2001-05-04,Brazil,Fulham
28,143054,Armando Broja,Offence,2001-09-10,Albania,Fulham
0,1795,Alisson,Goalkeeper,1992-10-02,Brazil,Liverpool
1,8197,Adrián,Goalkeeper,1987-01-03,Spain,Liverpool
2,102046,Caoimhin Kelleher,Goalkeeper,1998-11-23,Ireland,Liverpool
3,221770,Fabian Mrozek,Goalkeeper,2003-09-28,Poland,Liverpool
4,3269,Wataru Endō,Defence,1993-02-09,Japan,Liverpool
5,7383,Kostas Tsimikas,Defence,1996-05-12,Greece,Liverpool
